Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
3.0,87.83333333,0.0,0.0,27.0,798.3333333,0.0,,22.9160357,,FEB,2.0,2.0,3.0,1.0,returning_visitor,FALSE,TRUE
4.0,,0.0,0.0,90.0,6951.972222,0.002150538,0.015013034,0.0,0.0,feb,4.0,1.0,1.0,3.0,returning_visitor,FALSE,FALSE
,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.6,feb,2.0,2.0,5.0,1.0,RETURNING_VISITOR,FALSE!,FALSE
0.0,0.0,0.0,0.0,18.0,902.0,0.0,0.007407407,0.0,0.0,feb,2.0,23.63535059146237,2.0,4.0,NAN,false,FALSE
0.0,0.0,0.0,0.0,,0.0,0.2,,0.0,0.2,nan,3.0,2.0,,3.0,RETURNING_VISITOR!,FALSE,false
0.0,0.0,,,1.0,0.0,0.2,0.2,0.0,0.0,FEB,2.0,6.0,1.0,2.0,returning_visitor,FALSE,false
0.0,0.0,,0.0,20.0,197.3777778,0.025,0.0525,,0.0,FEB,2.0,6.0,6.0,1.0,RETURNING_VISITOR,FALSE*,false
0.0,0.0,0.0,0.0,2.0,,0.0,0.1,0.0,,FEB,2.0,2.0,3.0,3.0,returning_visitor,FALSE,nan
0.0,0.0,0.0,0.0,316.79015521824886,426.6666667,0.0,0.0125,0.0,0.0,feb,2.0,4.0,3.0,2.0,returning_visitor,false,false
0.0,0.0,0.0,0.0,3.0,135.0,0.0,0.066666667,0.0,0.0,feb,2.0,4.0,3.0,3.0,RETURNING_VISITOR,nan,false
0.0,,0.0,0.0,,,,0.025,0.0,0.0,feb,2.0,4.0,,1.0,returning_visitor&,FALSE,FALSE
10.0,1005.666667,0.0,0.0,36.0,2111.341667,,0.014492754,,,feb,,6.0,,2.0,RETURNING_VISITOR,false,TRUE
0.0,0.0,0.0,0.0,2.0,76.0,,,0.0,0.6,feb,3.0,2.0,3.0,3.0,returning_visitor,false,false
0.0,0.0,0.0,,1.0,,0.2,0.2,0.0,1.0,FEB,1.0,1.0,1.0,3.0,RETURNING_VISITOR,TRUE,FALSE
0.0,0.0,0.0,,1.0,0.0,0.2,0.2,,,FEB,1.0,1.0,1.0,,RETURNING_VISITOR,FALSE,FALSE
,0.0,0.0,,7.0,,0.0,0.028571429,0.0,0.0,feb&,4.0,1.0,31.566440765205456,5.0,returning_visitor,true,FALSE
0.0,0.0,0.0,0.0,4.0,270.0,0.0,0.016666667,0.0,0.8,feb,1.0,1.0,1.0,3.0,returning_visitor,false,false
0.0,0.0,0.0,0.0,6.0,39.5,0.0,0.02,0.0,0.0,NAN,2.0,,1.0,3.0,RETURNING_VISITOR?,FALSE,FALSE
,0.0,0.0,0.0,12.0,375.0,,0.43188251950180384,,0.0,FEB,3.0,2.0,4.0,1.0,RETURNING_VISITOR,FALSE#,FALSE&
,,0.0,,1.0,0.0,0.2,0.2,0.0,0.8,feb,2.0,,2.0,1.0,RETURNING_VISITOR,true,FALSE
,,0.0,0.0,1.0,0.0,0.2235466588197425,0.2,0.0,0.0,feb,1.0,1.0,1.0,,returning_visitor,FALSE,false%
0.0,0.0,0.0,0.0,,150.0,0.057142857,0.085714286,0.0,0.0,feb,2.0,2.0,2.0,1.0,RETURNING_VISITOR,false,nan
0.0,0.0,0.0,0.0,3.0,138.0,0.0,0.066666667,0.0,0.0,NAN,1.0,1.0,,3.0,nan,FALSE,FALSE%
0.0,0.0,0.0,0.0,7.0,337.5,0.028571429,0.023809524,,0.4,feb,4.0,1.0,3.0,3.0,RETURNING_VISITOR,FALSE,false&
0.0,0.0,0.0,0.0,19.0,620.0333333,0.0,0.007894737,0.0,0.0,FEB,1.0,1.0,4.0,2.0,returning_visitor,NAN,NAN
2.0,36.0,0.0,0.0,15.0,168.8461538,0.0,0.011764706,0.0,0.4,feb,,1.0,1.0,3.0,RETURNING_VISITOR?,false,false@
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,feb!,1.0,,1.0,2.0,returning_visitor,TRUE,nan
0.0,0.0,0.0,0.0,2.0,52.0,0.0,0.1,0.0,0.0,FEB$,1.0,1.0,1.0,3.0,NAN,FALSE,nan
0.0,0.0,0.0,0.0,13.0,649.25,0.0,0.015384615,0.0,0.0,feb&,2.0,2.0,1.0,5.0,new_visitor,FALSE,FALSE
0.0,0.0,5.054105118515974,0.0,27.0,925.3333333,0.003703704,0.025925926,0.0,0.6,FEB,4.0,1.0,3.0,3.0,returning_visitor,FALSE,NAN
0.0,0.0,0.0,0.0,,33.0,0.0,0.1,,0.2,feb,1.0,1.0,1.0,,RETURNING_VISITOR,nan%,false
0.0,0.0,0.0,0.0,6.0,1566.5,0.05,0.066666667,,0.2,FEB,1.0,,,3.0,returning_visitor,FALSE,FALSE
0.0,0.0,0.0,0.0,4.0,105.0,0.0,0.025,0.0,0.6,feb,,1.0,1.0,4.0,RETURNING_VISITOR,FALSE,FALSE$
0.0,0.0,1.0,0.0,7.0,50.0,0.038095238,0.080952381,0.0,,FEB,2.0,,,7.0,RETURNING_VISITOR,false$,nan
-0.0,0.0,0.0,0.0,16.0,644.2,0.004166667,0.031666667,0.0,0.0,FEB,3.0,2.0,3.0,4.0,RETURNING_VISITOR,nan,FALSE
3.0,18.33333333,0.0,334.9380199062564,38.0,2635.177778,0.0,0.008947368,0.0,0.4,FEB,2.0,4.0,1.0,2.0,returning_visitor,FALSE,false
4.0,61.0,0.0,0.0,19.0,607.0,0.0,,17.53595893,,feb&,1.0,1.0,7.0,4.0,RETURNING_VISITOR,TRUE,TRUE
0.0,0.0,0.0,0.0,6.0,415.0,,0.033333333,0.0,0.4,feb,1.0,1.0,3.0,2.0,NAN,FALSE,false!
2.0,31.0,5.054105118515974,16.0,36.0,2083.530952,0.0,0.01351025,0.0,0.8,FEB,2.0,2.0,4.0,3.0,RETURNING_VISITOR,false,FALSE@
3.0,58.5,0.0,0.0,17.0,281.6666667,0.007058824,0.017647059,0.0,0.0,FEB,1.0,1.0,3.0,4.0,returning_visitor,false,false
0.0,0.0,0.0,0.0,2.0,27.0,0.15,,0.0,0.0,feb,1.0,1.0,7.0,2.0,returning_visitor,false,false
0.0,0.0,1.0,0.0,9.0,215.0,,0.074074074,0.0,0.8,feb,4.0,1.0,31.566440765205456,3.0,RETURNING_VISITOR,FALSE,FALSE
,0.0,0.0,0.0,12.0,162.0,0.05,0.066666667,0.0,0.0,FEB,1.0,1.0,1.0,3.0,returning_visitor,false,FALSE
0.0,0.0,0.0,0.0,2.0,114.0,0.05,0.066666667,0.0,0.8,FEB,3.0,3.0,1.0,3.0,RETURNING_VISITOR,FALSE,NAN
6.0,326.25,4.0,94.0,128.0,,0.000854701,0.01791847,0.0,,feb,2.0,5.0,1.0,3.0,RETURNING_VISITOR,false,false
0.0,0.0,0.0,0.0,4.0,253.0,0.0,0.016666667,0.0,0.6,FEB,2.0,2.0,3.0,3.0,returning_visitor,FALSE,FALSE
0.0,0.0,0.0,0.0,4.0,,0.2,0.2,0.0,0.4,feb,2.0,2.0,1.0,3.0,returning_visitor,FALSE?,false
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.8,FEB,1.0,1.0,,3.0,returning_visitor,false,nan
2.0,,0.0,0.0,25.0,436.5,0.008,0.024,0.0,0.2,FEB,2.0,4.0,1.0,1.0,returning_visitor,FALSE,false
,0.0,1.0,93.0,30.0,1045.833333,0.012903226,0.035483871,0.0,0.2,feb%,21.26179447589638,,1.0,3.0,NAN,FALSE,false
0.0,0.0,0.0,0.0,12.0,317.8333333,0.0,0.005555556,0.0,0.0,FEB,1.0,1.0,31.566440765205456,4.0,returning_visitor,true,FALSE@
0.0,0.0,0.0,0.0,21.0,,0.2235466588197425,0.012962963,0.0,0.8,feb,3.0,2.0,1.0,3.0,returning_visitor,FALSE,false
0.0,0.0,0.0,0.0,11.0,577.0,0.018181818,0.027272727,0.0,0.2,FEB,2.0,2.0,3.0,1.0,NAN,NAN&,FALSE@
0.0,,0.0,0.0,8.0,,0.0,,0.0,0.0,FEB$,,1.0,3.0,3.0,returning_visitor,nan!,false
0.0,0.0,0.0,0.0,6.0,301.5,0.0,0.111111111,0.0,0.0,NAN,2.0,4.0,9.0,3.0,NAN,false,FALSE
0.0,0.0,0.0,0.0,6.0,243.0,,0.033333333,0.0,,FEB,2.0,,4.0,1.0,RETURNING_VISITOR,false,FALSE
0.0,0.0,0.0,0.0,4.0,135.5,0.0,0.05,0.0,0.6,feb,2.0,2.0,1.0,2.0,nan,false,false@
0.0,0.0,2.0,75.0,14.0,442.3333333,0.0,0.034375,0.0,0.8,feb,1.0,23.63535059146237,3.0,3.0,returning_visitor,FALSE,false
0.0,809.2796353305108,0.0,0.0,3.0,41.0,0.0,0.066666667,0.0,0.0,feb,1.0,1.0,3.0,3.0,RETURNING_VISITOR&,FALSE,false
,0.0,0.0,0.0,11.0,292.9,0.028,,0.0,0.0,FEB,2.0,,3.0,1.0,RETURNING_VISITOR,FALSE,false
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,FEB,1.0,1.0,3.0,3.0,RETURNING_VISITOR,nan,NAN!
0.0,0.0,0.0,0.0,9.0,1238.333333,,0.040740741,0.0,,feb,2.0,2.0,1.0,3.0,RETURNING_VISITOR,FALSE,NAN
,,0.0,0.0,,225.4666667,0.0,0.05,0.0,0.4,feb,1.0,1.0,8.0,3.0,RETURNING_VISITOR,FALSE,FALSE
4.0,462.0,0.0,0.0,51.0,1873.216667,0.0,0.00754717,0.0,0.6,FEB@,2.0,2.0,31.566440765205456,3.0,returning_visitor!,FALSE,false
0.0,0.0,0.0,0.0,3.0,13.0,,0.166666667,0.0,0.0,feb,2.0,4.0,,,returning_visitor,FALSE,FALSE?
0.0,0.0,0.0,,2.0,222.0,0.0,0.1,0.0,0.0,FEB,2.0,6.0,1.0,2.0,RETURNING_VISITOR,TRUE?,FALSE
2.0,20.0,0.0,0.0,16.0,214.8333333,0.0,0.022222222,0.0,0.0,feb,2.0,2.0,,6.0,returning_visitor#,false,FALSE
0.0,,0.0,334.9380199062564,1.0,0.0,0.2,0.2,0.0,0.0,feb,3.0,2.0,3.0,3.0,returning_visitor,false,FALSE
0.0,0.0,0.0,0.0,6.0,2017.166667,,0.011111111,0.0,0.6039451114922814,NAN,2.0,2.0,4.0,3.0,returning_visitor,FALSE%,false
6.0,111.5,0.0,0.0,26.0,449.0277778,0.0,0.43188251950180384,0.0,0.6,FEB,21.26179447589638,,3.0,3.0,RETURNING_VISITOR,nan,FALSE&
0.0,0.0,0.0,0.0,6.0,158.1666667,0.0,,,0.0,feb,3.0,2.0,4.0,2.0,returning_visitor,nan,FALSE
0.0,0.0,0.0,0.0,9.0,,0.005555556,0.046296296,0.0,0.0,FEB,2.0,4.0,5.0,2.0,returning_visitor,FALSE,false
0.0,0.0,0.0,0.0,3.0,25.0,0.0,0.066666667,0.0,0.0,FEB,2.0,4.0,1.0,5.0,returning_visitor,false,false
0.0,809.2796353305108,0.0,0.0,2.0,42.0,0.05,0.15,0.0,0.4,feb,2.0,2.0,1.0,4.0,RETURNING_VISITOR,FALSE@,FALSE
4.0,103.625,0.0,,,1003.416667,0.0,,0.0,0.2,feb,1.0,1.0,3.0,3.0,RETURNING_VISITOR,false,NAN
0.0,0.0,0.0,,1.0,0.0,0.2,0.2,0.0,,feb,2.0,2.0,7.0,,returning_visitor,FALSE,false
0.0,0.0,0.0,0.0,9.0,272.5,0.0,0.011851852,0.0,0.2,FEB,1.0,1.0,6.0,3.0,RETURNING_VISITOR,false,false
3.0,19.0,0.0,0.0,8.0,,0.0,0.007407407,0.0,0.0,FEB,,4.0,2.0,3.0,RETURNING_VISITOR,false,false$
0.0,0.0,0.0,0.0,1.0,0.0,,0.2,0.0,0.0,NAN,2.0,2.0,2.0,,returning_visitor,false,false
0.0,0.0,1.0,19.0,10.0,852.0,0.0,0.009090909,0.0,0.0,feb&,2.0,,3.0,6.0,returning_visitor!,FALSE,FALSE
0.0,0.0,0.0,0.0,3.0,780.0,,0.066666667,0.0,0.4,feb,2.0,4.0,1.0,3.0,returning_visitor,false,FALSE
0.0,0.0,,0.0,3.0,1038.0,0.0,0.033333333,0.0,0.0,FEB,2.0,2.0,1.0,1.0,returning_visitor,false&,false
0.0,0.0,0.0,0.0,4.0,573.0,,0.05,0.0,,FEB,2.0,2.0,3.0,3.0,returning_visitor,false,FALSE$
,0.0,0.0,0.0,28.0,1231.233333,,0.030357143,0.0,0.0,FEB,,1.0,4.0,3.0,RETURNING_VISITOR,false,false
0.0,0.0,0.0,0.0,11.0,316.6666667,0.0,0.027272727,0.0,0.8,feb*,,,2.0,1.0,returning_visitor,nan@,nan
0.0,0.0,0.0,0.0,,873.7365079,0.0075,0.028166667,0.0,0.0,FEB,1.0,2.0,1.0,1.0,returning_visitor,nan,nan
0.0,0.0,0.0,,1.0,0.0,0.2,0.2,0.0,0.4,feb,2.0,2.0,31.566440765205456,,RETURNING_VISITOR,FALSE$,FALSE
0.0,,0.0,0.0,,16.0,0.1,0.15,0.0,0.0,feb,,5.0,5.0,1.0,nan,FALSE!,FALSE
0.0,0.0,0.0,0.0,19.0,615.0,0.0,0.026315789,0.0,0.2,feb,2.0,2.0,3.0,3.0,returning_visitor,false,false
,0.0,0.0,0.0,,261.75,0.0,0.026666667,0.0,0.0,FEB,2.0,6.0,1.0,1.0,returning_visitor,FALSE,FALSE
0.0,0.0,0.0,0.0,,615.8831169,0.033333333,0.04993081,0.0,0.0,feb,3.0,2.0,,,RETURNING_VISITOR,TRUE,false
0.0,0.0,0.0,334.9380199062564,1.0,0.0,0.2,0.2,0.0,0.0,FEB,3.0,,,2.0,returning_visitor,TRUE,false!
0.0,0.0,0.0,0.0,6.0,117.5,0.0,0.033333333,0.0,0.8,FEB,1.0,1.0,1.0,40.82853953807848,returning_visitor,true!,false*
0.0,0.0,0.0,0.0,1.0,11945.534323185837,0.2,0.2,,0.0,NAN,1.0,,1.0,3.0,RETURNING_VISITOR%,FALSE,false
,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,nan,3.0,2.0,3.0,3.0,returning_visitor,nan,FALSE
23.17428988243371,0.0,0.0,0.0,23.0,501.6666667,0.008695652,0.01884058,,0.6,feb,1.0,1.0,4.0,40.82853953807848,RETURNING_VISITOR,false,FALSE
2.0,58.0,2.0,22.0,,829.1666667,0.03030303,0.040606061,0.0,0.0,feb,1.0,1.0,1.0,1.0,RETURNING_VISITOR,true!,false
1.0,9.5,0.0,0.0,23.0,1223.0,,0.012463768,0.0,0.0,feb,1.0,1.0,1.0,2.0,returning_visitor,TRUE,false
0.0,0.0,0.0,0.0,6.0,467.0,,0.016666667,0.0,0.4,FEB@,1.0,1.0,3.0,3.0,returning_visitor,false,FALSE
0.0,0.0,0.0,0.0,23.0,737.1666667,0.008695652,0.011594203,0.0,0.6,FEB,2.0,2.0,1.0,3.0,returning_visitor,false,nan@
0.0,0.0,0.0,0.0,12.0,129.0,0.0,0.033333333,0.0,0.0,feb,1.0,,3.0,2.0,RETURNING_VISITOR,FALSE,false
0.0,0.0,0.0,0.0,5.0,63.0,0.0,0.04,0.0,0.0,nan,2.0,2.0,1.0,3.0,RETURNING_VISITOR,false,false
0.0,0.0,0.0,0.0,5.0,125.0,0.086666667,0.166666667,0.0,0.0,FEB,2.0,2.0,,3.0,NAN,FALSE,FALSE
0.0,0.0,0.0,0.0,11.0,684.3333333,0.018181818,0.063636364,,0.0,feb,2.0,4.0,6.0,1.0,returning_visitor,FALSE,FALSE
0.0,0.0,0.0,0.0,20.0,665.4722222,0.0,0.0145,0.0,0.8,FEB,3.0,2.0,7.0,4.0,RETURNING_VISITOR,TRUE$,FALSE
1.0,0.0,0.0,0.0,15.0,11945.534323185837,0.0,0.019166667,0.0,0.8,FEB,1.0,1.0,,4.0,returning_visitor,true$,FALSE
0.0,0.0,5.054105118515974,0.0,17.0,437.1666667,0.011111111,0.033333333,0.0,0.0,feb,,4.0,1.0,3.0,returning_visitor,FALSE,nan
0.0,0.0,0.0,0.0,3.0,55.0,0.066666667,,0.0,0.6,FEB,1.0,1.0,1.0,3.0,returning_visitor,false,FALSE
,0.0,,0.0,1.0,0.0,0.2,0.2,0.0,0.8,feb,,,1.0,2.0,returning_visitor,NAN,NAN
5.0,41.3,0.0,0.0,24.0,446.9277778,,0.008602151,0.0,1.0,feb@,2.0,2.0,8.0,1.0,RETURNING_VISITOR,nan,FALSE
3.0,87.0,0.0,0.0,10.0,320.5,0.0,0.015384615,0.0,0.0,feb,1.0,1.0,2.0,3.0,RETURNING_VISITOR,FALSE,false*
0.0,809.2796353305108,0.0,,7.0,,0.0,0.014285714,0.0,0.0,FEB,1.0,1.0,6.0,2.0,RETURNING_VISITOR,FALSE,false
1.0,0.0,0.0,,,405.7095238,0.010743802,0.047002635,59.85699127493774,0.0,feb,1.0,1.0,1.0,4.0,RETURNING_VISITOR,FALSE,false
0.0,,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,FEB,3.0,2.0,3.0,3.0,returning_visitor,FALSE,FALSE
,0.0,0.0,0.0,6.0,163.25,,0.033333333,0.0,0.6,FEB$,1.0,,6.0,2.0,RETURNING_VISITOR,FALSE,FALSE
0.0,0.0,0.0,0.0,17.0,284.25,0.0,0.011764706,0.0,0.0,FEB,3.0,2.0,31.566440765205456,2.0,RETURNING_VISITOR,NAN,FALSE
0.0,,0.0,0.0,1.0,0.0,0.2,,,0.6,FEB%,4.0,2.0,,3.0,returning_visitor,FALSE,false&
0.0,0.0,0.0,0.0,1.0,0.0,,0.2,0.0,0.0,feb,2.0,4.0,1.0,1.0,returning_visitor,false%,FALSE
0.0,0.0,0.0,0.0,8.0,260.0,0.008333333,0.025,0.0,0.8,FEB,3.0,2.0,1.0,3.0,RETURNING_VISITOR,true,FALSE
