age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,Target,column_name
53,TECHNICIAN,married,secondary,no,-3,no,no,unknown,5,may,1666,1,-1,0,unknown,no,
36,admin.,divorced,SECONDARY,no,506,yes,no,UNKNOWN,5,may,577,1,-1,0,UNKNOWN,no,
37,damin.,single,secondary,on,0,eys,no,UNKNOWN,5,mya,137,1,-1,0,unknonw,no,
44,services,divorced,secondary,no,2586,yes,no,UNKNOWN,5,may,160,1,-1,0,unknown,no,
50,MANAGEMENT,married,secondary,no,49,yes,no,unknown,5,may,180,2,-1,0,unknown,no,
60,BLUE-COLLAR,married,uknnown,no,104,yes,on,unknown,5,may,22,1,-1,0,unknown,no,
54,RETIRED,married,SECONDARY,no,529,yes,on,UNKNOWN,5,may,1492,1,-1,0,unknown,no,
58,retired,married,unknown,no,96,yes,no,unknown,5,may,616,1,-1,0,UNKNOWN,no,
36,admin.,isngle,primary,no,-171,yes,no,UNKNOWN,5,may,242,1,-1,0,unknown,no,
58,self-employed,married,tertiary,no,-364,yes,no,unknown,5,may,355,1,-1,0,unknown,no,
44,technician,married,SECONDARY,no,0,yes,no,UNKONWN,5,may,225,2,-1,0,UNKNOWN,no,
55,TECNHICIAN,divorced,secondary,no,0,no,no,unknown,5,may,160,1,-1,0,unknown,no,
29,management,sinlge,TRETIARY,no,0,yse,no,unknown,5,may,363,1,-1,0,UNKNOWN,no,
54,blue-collar,married,secondary,no,1291,yes,on,UNKNOWN,5,may,266,1,-1,0,unknonw,no,
48,MANAGEMENT,divorced,teritary,no,-244,yes,no,unknown,5,may,253,1,-1,0,UNKNOWN,no,
32,management,married,tertiary,no,0,yes,no,UNKNOWN,5,may,179,1,-1,0,UNKNOWN,no,
42,admin.,single,secondary,no,-76,yes,no,unknown,5,may,787,1,-1,0,unknown,no,
24,TECHNICIAN,single,SECONDARY,no,-103,yes,yse,UNKNOWN,5,may,145,1,-1,0,UNKNOWN,no,
38,ENTREPRENEUR,single,tertiary,on,243,no,yes,unknown,5,may,174,1,-1,0,UNKNOWN,no,
38,management,single,tertiary,no,424,yes,no,UNKNOWN,5,may,104,1,-1,0,UNKNOWN,no,
47,BLUE-COLLAR,married,UNKNWON,no,306,yes,no,nuknown,5,may,13,1,-1,0,UNKNOWN,no,
40,BLU-ECOLLAR,isngle,UNKNONW,no,24,yes,no,UNKNOWN,5,may,185,1,-1,0,unknown,no,
46,SREVICES,married,PRIMARY,no,179,yes,no,unknown,5,may,1778,1,-1,0,UNKNOWN,no,
32,ADMIN.,married,TERTIARY,no,0,yes,no,UNKNOWN,5,may,138,1,-1,0,unknown,no,
53,technicain,divorced,secondary,no,989,yes,no,UNKNOWN,5,may,812,1,-1,0,UNNKOWN,no,
57,blue-collar,married,primary,no,249,yes,no,UNKNOWN,5,may,164,1,-1,0,UKNNOWN,no,
33,services,married,SECONDARY,no,790,yes,no,UNKNOWN,5,mya,391,1,-1,0,unknown,no,
49,blue-collar,married,UNKNOWN,no,154,yse,no,unknown,5,may,357,1,-1,0,unknown,no,
51,managemnet,married,TERTIARY,no,6530,yes,no,UNKNOWN,5,may,91,1,-1,0,unknwon,no,
60,retired,married,tertiary,no,100,no,no,UNKNOWN,5,may,528,1,-1,0,unknown,no,
59,management,divorced,tertiary,no,59,yes,no,unknown,5,may,273,1,-1,0,UNKNOWN,no,
55,TECHNICIAN,married,SECONDARY,no,1205,yes,no,UNNKOWN,5,may,158,2,-1,0,UKNNOWN,no,
35,BLUE-COLLAR,single,secondary,no,12223,yes,yes,UNKNOWN,5,may,177,1,-1,0,UNKNWON,no,
57,BLUE-COLLAR,married,SECONDARY,no,5935,yes,eys,unknown,5,may,258,1,-1,0,unknown,no,
31,SERVICES,married,SECONDARY,no,25,yes,yes,nuknown,5,may,172,1,-1,0,unknown,no,
54,MANAGEMENT,married,secondary,no,282,yes,yes,unknown,5,may,154,1,-1,0,unknown,no,
55,blue-collar,married,primary,no,23,yes,no,UNKNOWN,5,may,291,1,-1,0,unknown,no,
43,TECHNICIAN,married,secondary,on,1937,yes,no,unknown,5,may,181,1,-1,0,UNKNOWN,no,
53,TECHNICIAN,married,secondray,no,384,yse,no,UNNKOWN,5,may,176,1,-1,0,UNKNOWN,no,
44,blue-collar,married,SECONDARY,no,582,no,yes,UNKNONW,5,may,211,1,-1,0,unknown,no,
55,SERVICES,divorced,secondary,no,91,no,no,UNKNOWN,5,may,349,1,-1,0,unknown,no,
49,SERVICES,divorced,SECONDARY,no,0,yes,yes,unknown,5,mya,272,1,-1,0,UNKNOWN,no,
55,SERVICES,divorced,SECONDARY,yes,1,yes,no,UNKNOWN,5,may,208,1,-1,0,UNKNOWN,no,
45,ADMIN.,single,secondary,no,206,yes,no,unknonw,5,may,193,1,-1,0,unknown,no,
47,SERVICES,divorced,secondary,no,164,no,no,UNKNOWN,5,mya,212,1,-1,0,unknown,no,
42,TECHNICIAN,single,secondary,no,690,yes,no,UNKNOWN,5,may,20,1,-1,0,unknown,no,
59,admin.,married,SECONDARY,no,2343,yes,no,unknown,5,may,1042,1,-1,0,UNKNOWN,yes,
46,self-employed,amrried,tertiary,no,137,yes,yes,UNKNOWN,5,may,246,1,-1,0,UNKNOWN,no,
51,BLUE-COLLAR,married,priamry,no,173,yes,no,UNKNOWN,5,may,529,2,-1,0,UNKNOWN,no,
56,ADMIN.,marride,secondary,no,45,no,no,unknown,5,may,1467,1,-1,0,UNKNOWN,yes,
41,TECHNICIAN,married,SECONDARY,no,1270,yes,no,UNKNOWN,5,may,1389,1,-1,0,UNKNOWN,yes,
46,MANAGEMENT,divorced,SECONDARY,no,16,yes,yes,unknonw,5,may,188,2,-1,0,UNKNOWN,no,
57,RETIRED,married,secondary,on,486,yes,no,unknown,5,may,180,2,-1,0,unknown,no,
42,management,single,seconadry,no,50,no,no,UNKNOWN,5,may,48,1,-1,0,UNKNOWN,no,
30,TECHNICIAN,married,SECONDARY,no,152,yse,yes,unknown,5,may,213,2,-1,0,UNKNOWN,no,
60,ADMIN.,married,SECONDARY,no,290,yes,no,unknown,5,mya,583,1,-1,0,unknown,no,
60,BLUE-COLLRA,married,nuknown,no,54,yes,no,UKNNOWN,5,may,221,1,-1,0,UNKNOWN,no,
57,entrepreneur,divorced,secondary,no,-37,no,no,unknown,5,may,173,1,-1,0,unknown,no,
36,management,married,TERTIARY,no,101,yes,yes,unknown,5,may,426,1,-1,0,UNKNOWN,no,
55,BLUE-COLLAR,married,secondary,no,383,no,on,UNKNOWN,5,may,287,1,-1,0,UNKNOWN,no,
60,retired,married,tertiary,on,81,eys,no,unknown,5,may,101,1,-1,0,UNKNOWN,no,
39,TECHNICIAN,married,sceondary,no,0,yse,no,unknown,5,may,203,1,-1,0,UNKNOWN,no,
46,management,married,TERTIARY,no,229,yes,no,UNKNOWN,5,may,197,1,-1,0,UNKNOWN,no,
44,BLUE-COLLAR,mraried,secondary,no,-674,yes,no,UNKNOWN,5,may,257,1,-1,0,unknown,no,
53,BLUE-COLLAR,married,primary,no,90,no,no,UNKNOWN,5,may,124,1,-1,0,UNKNOWN,no,
52,BLUE-COLLAR,married,PRIMARY,no,128,yes,no,unknown,5,may,229,1,-1,0,UNKNOWN,no,
59,BLUE-COLLAR,married,primary,on,179,yes,no,unknown,5,may,55,3,-1,0,unknwon,no,
27,TECHNICIAN,single,TERTIARY,no,0,yes,no,unknown,5,may,400,1,-1,0,unknown,no,
44,BLUE-COLLAR,married,secondary,no,54,yes,no,UNKNOWN,5,may,197,1,-1,0,unknown,no,
47,technician,married,TERTIARY,no,151,yes,no,unknown,5,may,190,1,-1,0,unknown,no,
34,damin.,married,SECONDARY,no,61,no,yes,UNKNOWN,5,mya,21,1,-1,0,UNKNOWN,no,
59,retired,single,SECONDARY,no,30,yes,no,unknown,5,may,514,1,-1,0,unknown,no,
45,management,married,TERTIARY,on,523,yes,no,UNKNOWN,5,may,849,2,-1,0,unknown,no,
29,SERVICES,idvorced,SECONDARY,no,31,yes,no,unknown,5,may,194,1,-1,0,unknown,no,
46,TCEHNICIAN,divorced,SECONDARY,no,79,no,no,UNKNOWN,5,may,144,1,-1,0,unknown,no,
56,SELF-EMPLOYED,married,prmiary,no,-34,yes,yes,unknown,5,may,212,2,-1,0,UNKNOWN,no,
36,BLUE-COLLAR,married,primary,no,448,yes,no,UKNNOWN,5,may,286,1,-1,0,UNKNOWN,no,
59,ertired,divorced,PRIAMRY,no,81,yse,no,UNKNONW,5,may,107,1,-1,0,UNKNOWN,no,
44,BLUE-COLLAR,married,SECONDARY,no,144,yes,on,unknwon,5,may,247,2,-1,0,UNKNOWN,no,
41,admin.,married,secondary,no,351,yes,no,unknown,5,may,518,1,-1,0,UNKNWON,no,
33,management,isngle,TERTIARY,no,-67,eys,no,UNKNOWN,5,may,364,1,-1,0,UNKNOWN,no,
59,MANAGEMENT,divorced,tertiary,no,262,no,no,unnkown,5,may,178,1,-1,0,unknown,no,
57,TECHNICIAN,married,primary,no,0,no,on,UNKNOWN,5,may,98,1,-1,0,UNKNOWN,no,
56,technician,divorced,unknown,no,56,yes,no,NUKNOWN,5,may,439,1,-1,0,UNKNOWN,no,
51,blue-collar,married,secondary,no,26,yes,no,unknown,5,may,79,1,-1,0,UNKNOWN,no,
34,admin.,married,unknown,no,3,yse,no,UNKNOWN,5,may,120,3,-1,0,UNKNOWN,no,
43,services,married,SECONDARY,no,41,yes,yes,unknown,5,may,127,2,-1,0,unknown,no,
52,technician,married,TERTIARY,no,7,no,yes,unknown,5,may,175,1,-1,0,UNKNOWN,no,
33,TECHNICIAN,single,secnodary,no,105,yes,no,UNKNONW,5,may,262,2,-1,0,unknown,no,
29,admin.,single,secondary,no,818,yes,yes,UNNKOWN,5,may,61,1,-1,0,unknown,no,
34,services,married,secondary,no,-16,yse,yes,UNKNOWN,5,may,78,1,-1,0,unknown,no,
31,blue-collar,married,secondary,no,0,yes,no,UNKNOWN,5,mya,143,1,-1,0,UNKNOWN,no,
55,SERVICES,married,SECNODARY,on,2476,yes,no,UNKNOWN,5,may,579,1,-1,0,UNKNOWN,yes,
55,management,married,unknown,no,1185,no,no,unknown,5,may,677,1,-1,0,unknown,no,
32,ADMIN.,single,secondary,no,217,yes,on,UNKNOWN,5,may,345,1,-1,0,unknown,no,
38,TECHNICIAN,single,secondary,no,1685,yes,no,UNKNOWN,5,may,185,1,-1,0,unknown,no,
55,admin.,single,SECONDARY,no,802,yes,yes,UNKNOWN,5,may,100,2,-1,0,unknown,no,
28,UNEMPLOYDE,single,TERTIARY,no,0,yes,no,unknown,5,may,125,2,-1,0,UNKNOWN,no,
23,blue-collar,married,secondary,no,94,yes,no,unknown,5,may,193,1,-1,0,UNKNOWN,no,
32,technician,single,secondary,no,0,yes,no,UNKNONW,5,may,136,1,-1,0,UNKNOWN,no,
43,services,single,unknown,no,0,no,no,UNKNOWN,5,may,73,1,-1,0,UNKNOWN,no,
32,BLUE-COLLAR,married,SECONDARY,no,517,yes,no,unknown,5,may,528,1,-1,0,UNKNOWN,no,
46,blue-collar,mraried,SECONDARY,no,265,yes,no,unknown,5,may,541,1,-1,0,unknown,no,
53,HOUSEMAID,divorced,RPIMARY,no,947,yes,no,unknown,5,may,163,1,-1,0,UNKNOWN,no,
34,self-employed,single,secondary,no,3,yes,no,UNKNOWN,5,may,301,1,-1,0,unknown,no,
57,unemployed,married,TERTIARY,no,42,no,no,unknown,5,amy,46,1,-1,0,UNKNOWN,no,
37,BLUE-COLLAR,married,secondary,no,37,yes,no,unnkown,5,may,204,1,-1,0,UNKNOWN,no,
59,blue-collar,married,SECONDARY,no,57,yes,no,UNKNOWN,5,amy,98,1,-1,0,unknown,no,
33,services,married,secondary,no,22,yes,no,UNKNOWN,5,may,71,1,-1,0,unknown,no,
56,blue-collar,divorced,primary,no,8,yes,no,UNNKOWN,5,amy,157,2,-1,0,unknown,no,
48,UNEMPLOYED,married,secondary,no,293,yes,no,UNKNOWN,5,may,243,1,-1,0,UNKNOWN,no,
43,services,married,PRIMARY,no,3,yes,no,UNKNOWN,5,amy,186,2,-1,0,UNKNOWN,no,
54,blue-collar,married,PRIMARY,no,348,yes,no,UNKNOWN,5,may,579,2,-1,0,UNKNOWN,no,
51,blue-colalr,married,unknown,no,-19,yes,no,UNKNOWN,5,may,163,2,-1,0,unknown,no,
26,student,single,SECONDAYR,no,0,yes,no,unknown,5,may,610,2,-1,0,UNKNOWN,no,
40,MANAGEMENT,married,tertiary,no,-4,yes,no,UNKNOWN,5,may,2033,1,-1,0,unknown,no,
39,MANAGEMENT,married,secondary,no,18,yes,no,UNKNOWN,5,may,85,1,-1,0,UNKNOWN,no,
50,TECHNICIAN,married,primary,on,139,no,no,unknown,5,may,114,2,-1,0,UNKNOWN,no,
41,SERIVCES,married,SECONDARY,no,0,yes,no,unknown,5,may,114,2,-1,0,UNKNOWN,no,
51,blue-collar,married,unknown,no,1883,yes,no,UNKNOWN,5,mya,57,1,-1,0,UNKNOWN,no,
60,RETIRED,divorced,secondary,no,216,yes,no,UNKNOWN,5,mya,238,1,-1,0,UNKNOWN,no,
52,LBUE-COLLAR,married,secondary,no,782,yes,no,unknown,5,may,93,3,-1,0,UNKNOWN,no,
48,BLUE-COLLAR,married,SECONDARY,no,904,yes,no,unknown,5,may,128,2,-1,0,UNKNOWN,no,
48,SERVICES,married,UNKNOWN,no,1705,yes,no,unknown,5,may,107,1,-1,0,UNKNOWN,no,
39,technician,single,tertiary,no,47,yes,no,unknown,5,may,181,1,-1,0,UNKNOWN,no,
47,SERVICES,single,SECONDARY,no,176,yes,no,UNKNOWN,5,may,303,2,-1,0,unknown,no,
40,blue-collar,married,SECONDARY,no,1225,yes,no,UNKNOWN,5,may,558,5,-1,0,unnkown,no,
45,technician,married,SECONDARY,on,86,yes,no,UNKNOWN,5,may,270,1,-1,0,unknown,no,
26,ADMIN.,single,SECONDARY,no,82,yes,no,UNKNOWN,5,may,228,1,-1,0,UNKNOWN,no,
52,MANAGEMENT,married,TERTIARY,no,271,yes,no,unknown,5,may,99,1,-1,0,unknown,no,
54,technician,married,secondary,no,1378,yes,no,unknown,5,may,240,1,-1,0,UNKNOWN,no,
54,admin.,married,TERTIARY,no,184,no,no,UNKNOWN,5,may,673,2,-1,0,UNKNOWN,yes,
50,BLUE-COLLAR,married,PRIMARY,no,0,no,no,UNKNOWN,5,may,233,3,-1,0,unknown,no,
35,blue-collar,married,secodnary,no,0,yes,no,unknown,5,may,1056,1,-1,0,unknown,no,
44,SEVRICES,married,SECONDARY,no,1357,yse,yes,unknown,5,may,250,1,-1,0,unknown,no,
53,ENTREPRENEUR,married,UNKNOWN,no,19,yes,no,unknown,5,may,252,1,-1,0,unknown,no,
35,retired,single,primary,no,434,no,no,UNKNOWN,5,mya,138,1,-1,0,UNKNOWN,no,
60,ADMIN.,divorced,secondary,no,92,yes,no,UNKNOWN,5,may,130,1,-1,0,UNKNOWN,no,
53,admin.,divorced,SECONDARY,no,1151,eys,no,unknown,5,may,412,1,-1,0,UNKNOWN,no,
48,unemployed,married,SECONDARY,no,41,yse,no,UNKNOWN,5,may,179,2,-1,0,unknown,no,
34,technician,married,secondary,no,51,yes,no,unknown,5,may,19,2,-1,0,unknown,no,
54,services,married,ESCONDARY,no,214,yes,no,UNKNOWN,5,may,458,2,-1,0,unknown,no,
51,management,married,secondary,no,1161,yes,no,UNKNOWN,5,may,717,1,-1,0,UNKNOWN,no,
31,services,married,tertiary,no,37,yse,no,unnkown,5,may,313,1,-1,0,UNKNOWN,no,
35,TECHNCIIAN,divorced,secondary,no,787,yes,no,UNKONWN,5,may,683,2,-1,0,UNKNOWN,no,
35,SERVICSE,married,SECONDARY,no,59,yes,no,unknown,5,may,1077,1,-1,0,UNKNOWN,no,
38,technician,married,secondary,on,253,yes,no,unknown,5,may,416,1,-1,0,unknown,no,
36,admin.,married,tertiary,no,211,yes,no,unknown,5,may,146,2,-1,0,unkonwn,no,
58,retired,married,PRIMARY,no,235,yes,no,UNKNOWN,5,may,error,1,-1,0,unknown,no,
40,services,dviorced,unknown,no,4384,yes,no,UNKNOWN,5,amy,315,1,-1,0,unknown,no,
54,MANAGEMENT,married,SECONDARY,no,4080,no,no,UNKNOWN,5,amy,140,1,-1,0,unknown,no,
error,BLUE-COLLAR,single,SECONDARY,no,53,yes,yes,unknown,5,may,346,1,-1,0,unknown,no,
31,MANAGEMENT,single,TERTIARY,no,0,yes,no,unknown,5,may,562,1,-1,0,unknown,no,
51,RETIRED,married,SECONDARY,no,2127,yes,no,unknown,5,may,172,1,-1,0,UNKNOWN,no,
33,management,married,tertiary,no,377,yse,no,unknown,5,may,217,1,-1,0,unknown,no,
55,MANAGEMENT,married,TERTIARY,no,73,yes,no,UNKNOWN,5,may,142,2,-1,0,UNKNOWN,no,
42,ADMIN.,married,SECONDARY,no,445,yes,no,UNKNOWN,5,may,67,1,-1,0,UNKNOWN,no,
34,BLUE-COLLAR,married,SECONDARY,no,243,yes,no,UNKNOWN,5,may,291,1,-1,0,unknown,no,
33,BLUE-CLOLAR,single,SECONDARY,no,307,yes,no,UNNKOWN,5,mya,309,2,-1,0,unknown,no,
38,SERVICES,married,SECONDARY,no,155,yes,no,UNKNOWN,5,may,248,1,-1,0,UKNNOWN,no,
50,technician,divorced,TERTIARY,no,173,no,yes,unknown,5,may,98,1,-1,0,UNKNOWN,no,
43,management,married,TERTIARY,no,400,yes,on,unkonwn,5,may,256,1,-1,0,UNKNOWN,no,
61,blue-collar,divorced,primary,no,1428,eys,no,UNKNOWN,5,may,82,2,-1,0,UNKONWN,no,
47,admin.,married,secondary,on,219,yes,no,UNKNOWN,5,may,577,1,-1,0,unknonw,no,
48,,married,TERTIARY,no,7,yes,no,unknown,5,may,286,1,-1,0,unknown,no,
44,blue-collar,married,secodnary,no,575,yes,no,UNKNOWN,5,may,477,1,-1,0,UNKNOWN,no,
35,STUDENT,single,UNKNOWN,no,298,yes,no,unknown,5,may,611,2,-1,0,unknown,no,
35,SERVICES,marride,SECONDARY,no,0,yes,no,unknown,5,may,471,1,-1,0,unknown,no,
50,services,married,secondary,no,5699,yes,no,unknown,5,may,381,2,-1,0,UNKNOWN,no,
41,MANAGEMENT,married,TERTIARY,no,176,yes,yes,UNKNOWN,5,may,42,1,-1,0,unknown,no,
41,MANAGEMENT,mraried,tertiary,no,517,yes,no,UNKNOWN,5,mya,251,1,-1,0,unknown,no,
39,services,single,UNKNOWN,no,257,yes,no,UNKNOWN,5,may,408,1,-1,0,UNKNOWN,no,
42,retired,married,secondary,no,56,yes,no,UNKNOWN,5,may,215,1,-1,0,UNKNOWN,no,
38,blue-collar,married,secondary,no,-390,yes,no,unknown,5,may,287,1,-1,0,UNKNONW,no,
53,retired,married,SECONDARY,no,330,yes,no,unknown,5,may,216,2,-1,0,unknown,no,
59,housemaid,divorced,primary,no,195,no,no,UNKNWON,5,may,366,2,-1,0,UNKNOWN,no,
36,services,married,secondary,on,301,yes,no,unknown,5,may,210,1,-1,0,unknown,no,
54,BLUE-COLLAR,married,PRIMARY,no,-41,yes,no,UNKNOWN,5,may,288,1,-1,0,UNKNOWN,no,
40,TECHNICIAN,married,TERTIARY,no,483,yes,no,UNKNOWN,5,may,168,1,-1,0,unknown,no,
47,UNKNOWN,married,UNKNOWN,no,28,no,no,UNKNOWN,5,may,338,2,-1,0,unknown,no,
53,unemployed,married,unknown,no,13,no,no,UNKNOWN,5,may,410,3,-1,0,UNKNOWN,no,
46,housemaid,married,PRIMARY,no,965,no,no,UNKNOWN,5,may,177,1,-1,0,unknown,no,
39,management,married,TERTIAYR,no,378,yes,yes,unknown,5,may,127,2,-1,0,unknown,no,
40,unemployed,married,secondary,no,219,yes,no,unknown,5,may,357,1,-1,0,UNKNOWN,no,
28,BLUE-CLOLAR,married,PRIMARY,no,324,yes,no,UNKNOWN,5,may,175,1,-1,0,UNKNOWN,no,
35,ENTREPRENEUR,divorced,SECONDARY,no,-69,yes,no,UNKNOWN,5,may,300,1,-1,0,unknown,no,
55,retired,married,SECONDARY,no,0,no,yes,unknown,5,may,136,1,-1,0,unknown,no,
43,TECHNICIAN,divorced,UNKNOWN,no,205,yes,on,unknown,5,may,1419,1,-1,0,UNKNOWN,no,
48,blue-collar,marreid,primary,no,278,yes,no,unknown,5,may,125,2,-1,0,unknown,no,
58,MANAGEMENT,married,UNKNOWN,no,1065,yes,no,NUKNOWN,5,may,213,3,-1,0,UNKNOWN,no,
33,MANAGEMENT,single,tertiary,no,34,yes,no,UNKNOWN,5,may,27,1,-1,0,unknown,no,
36,BULE-COLLAR,married,unknown,on,1033,no,no,UNKNWON,5,mya,238,2,-1,0,UNKNOWN,no,
53,services,divorced,SECONDARY,no,1467,yes,no,unknown,5,may,124,1,-1,0,UNKNOWN,no,
47,blue-collar,married,primary,no,-12,yes,no,unknwon,5,mya,18,1,-1,0,UNKNOWN,no,
31,services,married,secondary,no,388,yes,no,UNKNOWN,5,may,730,2,-1,0,UNKNOWN,no,
57,entrepreneur,married,secondray,on,294,yes,no,unknown,5,may,746,2,-1,0,UNKNWON,no,
53,BLUE-COLLAR,married,UNKNOWN,no,1827,no,no,unknown,5,amy,121,1,-1,0,UNKNOWN,no,
55,blue-collar,marreid,primary,no,627,yes,no,UNKNOWN,5,may,247,1,-1,0,unknown,no,
45,BLUE-COLLAR,married,,no,25,yes,on,unknown,5,may,40,1,-1,0,unknown,no,
53,ADMIN.,divorced,secondayr,no,315,yes,no,UNKNOWN,5,may,181,2,-1,0,unknown,no,
37,BLUE-COLLAR,married,PRIMARY,no,0,yes,no,unknown,5,mya,79,1,-1,0,unknown,no,
44,admin.,divorced,secondary,no,66,yes,no,uknnown,5,may,206,1,-1,0,unknown,no,
49,blu-ecollar,divorced,PRIMARY,no,-9,yes,yes,UNKNOWN,5,may,389,1,-1,0,unknown,no,
46,TECHNICIAN,married,secondary,no,349,yes,yes,unknown,5,amy,127,1,-1,0,unknown,no,
43,ENTREPRENEUR,married,unknown,no,100,yes,no,unkonwn,5,may,702,1,-1,0,UNKNOWN,no,
38,ADMIN.,married,SECONDARY,no,0,no,no,UNKNOWN,5,may,151,1,-1,0,unknwon,no,
43,technician,married,SECONDARY,no,434,yes,no,unknown,5,may,117,1,-1,0,UNKNOWN,no,
49,MANAGEMETN,married,tertiary,no,3237,eys,no,unknown,5,may,232,3,-1,0,unknown,no,
42,MANAGEMENT,married,unknown,no,275,no,no,unknown,5,may,408,2,-1,0,unknown,no,
22,blue-collar,single,secondary,no,0,yes,no,unknown,5,may,179,2,-1,0,unnkown,no,
40,MANAGEMENT,married,tertiary,no,207,yes,no,unknown,5,may,39,1,-1,0,UNKNOWN,no,
39,blue-collar,married,SECONDARY,no,483,yse,no,UNKNOWN,5,may,282,1,-1,0,unknown,no,
51,services,married,SEOCNDARY,no,2248,yes,no,UNKNOWN,5,may,714,2,-1,0,unknown,no,
49,admin.,married,SECONDARY,no,428,yes,no,UNKNOWN,5,may,50,1,-1,0,UNKNOWN,no,
53,BLUE-COLLAR,married,SECONDARY,no,0,yse,yes,unknown,5,may,181,1,-1,0,unknown,no,
34,services,single,secondary,on,0,yes,no,UNKNOWN,5,may,142,1,-1,0,nuknown,no,
33,TECHNICIAN,divorced,seocndary,no,140,yes,no,UNKNOWN,5,may,227,1,-1,0,UNKNOWN,no,
50,MANAGEMENT,single,TERTIARY,no,297,yes,no,unknown,5,may,119,1,-1,0,unknown,no,
39,blue-collar,married,primary,on,279,yes,no,unknown,5,may,361,1,-1,0,UNKNOWN,no,
59,entrepreneur,divorced,secondary,no,901,yes,no,uknnown,5,may,73,3,-1,0,unknown,no,
