track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3.0,2022.0,,24.0,3107.0,39.0,720434240,wrong_type,0.0,4,0.0,0,101.0,D,Major,,72.0,59.0,62.0,0.0,9.0,3.0
BESO,"Rauw Alejandro, ROSALï¿½",2.0,2023.0,3.0,24.0,4053.0,50.0,357925728,82.0,121.0,182,12.0,171,95.0,F,Minor,77.0,53.0,64.0,74.0,0.0,17.0,14.0
Hey Mor,"Ozuna, Feid",wrong_type,2022.0,10.0,6.0,4637.0,38.0,674072710,wrong_type,79.0,89,11.0,16,98.0,C#,Minor,90.0,40.0,,0.0,0.0,10.0,29.0
Yellow,Chris Molitor,1.0,1999.0,,1.0,wrong_type,43.0,1755214421,wrong_type,2.0,"4,053",5.0,0,173.0,B,Major,43.0,28.0,66.0,0.0,0.0,23.0,
Karma,Taylor Swift,1.0,2022.0,10.0,21.0,3818.0,23.0,404562836,37.0,55.0,32,0.0,272,90.0,G#,Major,64.0,10.0,,7.0,0.0,48.0,
People,Libianca,1.0,wrong_type,12.0,2.0,3506.0,56.0,373199958,105.0,64.0,169,8.0,529,,A#,Minor,59.0,71.0,42.0,55.0,0.0,10.0,7.0
Overdrive,Post Malone,1.0,wrong_type,,14.0,410.0,36.0,14780425,36.0,32.0,31,1.0,26,140.0,C#,Major,,48.0,73.0,0.0,0.0,35.0,4.0
Enchanted (Taylor's Version),Taylor Swift,1.0,2023.0,7.0,7.0,,24.0,39578178,,93.0,8,2.0,5,82.0,G#,Major,51.0,22.0,53.0,1.0,0.0,15.0,3.0
BABY HELLO,"Rauw Alejandro, Bizarrap",2.0,2023.0,6.0,23.0,1004.0,35.0,54266102,,80.0,58,3.0,169,130.0,C#,Minor,77.0,,89.0,17.0,0.0,43.0,5.0
Heat Waves,Glass Animals,1.0,2020.0,6.0,28.0,22543.0,63.0,2557975762,386.0,144.0,707,28.0,,wrong_type,B,Major,76.0,53.0,53.0,44.0,0.0,9.0,9.0
golden hour,JVKE,,2022.0,7.0,15.0,4511.0,36.0,751134527,70.0,,109,18.0,230,94.0,C#,Minor,51.0,14.0,59.0,65.0,18.0,25.0,3.0
Sweater Weather,The Neighbourhood,1.0,2012.0,5.0,14.0,16413.0,61.0,2282771485,166.0,,"1,056",1.0,,124.0,A#,Major,61.0,41.0,wrong_type,5.0,2.0,10.0,3.0
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",wrong_type,2022.0,7.0,,8506.0,45.0,1356565093,94.0,65.0,164,14.0,176,128.0,D,Major,62.0,55.0,78.0,1.0,3.0,23.0,4.0
Viva La Vida,Coldplay,1.0,2008.0,1.0,1.0,33898.0,62.0,1592909789,233.0,wrong_type,"4,095",9.0,0,138.0,F,Minor,49.0,,62.0,9.0,0.0,11.0,3.0
Here With Me,d4vd,1.0,2022.0,7.0,17.0,3246.0,23.0,635412045,94.0,85.0,68,1.0,84,132.0,E,Major,58.0,27.0,48.0,50.0,0.0,12.0,3.0
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2.0,2022.0,9.0,22.0,8576.0,42.0,1230675890,216.0,108.0,331,26.0,154,wrong_type,D,Major,71.0,24.0,47.0,1.0,0.0,27.0,9.0
Yandel 150,"Yandel, Feid",2.0,2022.0,wrong_type,20.0,3618.0,38.0,585695368,47.0,74.0,80,14.0,194,168.0,F#,Minor,78.0,58.0,73.0,5.0,0.0,10.0,7.0
CORAZï¿½ï¿½N VA,Maria Becerra,,2023.0,6.0,wrong_type,370.0,20.0,43857627,12.0,16.0,18,4.0,93,98.0,C#,Major,68.0,40.0,79.0,33.0,0.0,30.0,6.0
Riptide,Vance Joy,1.0,1975.0,1.0,1.0,31123.0,55.0,2009094673,300.0,65.0,"1,003",1.0,0,102.0,C#,Major,48.0,50.0,73.0,43.0,0.0,15.0,4.0
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",wrong_type,2022.0,4.0,22.0,,wrong_type,600976848,60.0,96.0,71,0.0,115,,A#,Major,34.0,wrong_type,57.0,78.0,0.0,20.0,3.0
Novidade na ï¿½ï¿,"Mc Livinho, DJ Matt D",2.0,,6.0,23.0,267.0,9.0,39709092,9.0,6.0,25,2.0,72,130.0,F,Major,63.0,36.0,34.0,76.0,0.0,35.0,9.0
Back To December (Taylor's Version),Taylor Swift,1.0,2023.0,7.0,7.0,139.0,17.0,39228929,16.0,72.0,5,0.0,8,142.0,D,Major,50.0,20.0,64.0,1.0,wrong_type,,3.0
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",,wrong_type,7.0,9.0,17050.0,36.0,2665343922,492.0,99.0,798,31.0,0,170.0,C#,Major,59.0,48.0,76.0,4.0,0.0,10.0,5.0
El Merengue,"Marshmello, Manuel Turizo",2.0,2023.0,wrong_type,3.0,2114.0,44.0,223633238,80.0,75.0,110,11.0,323,124.0,G#,Minor,78.0,70.0,68.0,3.0,wrong_type,wrong_type,4.0
Someone You Loved,Lewis Capaldi,1.0,2018.0,,8.0,wrong_type,53.0,2887241814,440.0,,"1,800",0.0,,110.0,C#,Major,50.0,45.0,wrong_type,wrong_type,0.0,11.0,3.0
Me Porto Bonito,"Chencho Corleone, Bad Bunny",2.0,2022.0,5.0,6.0,8870.0,43.0,1440757818,104.0,120.0,141,26.0,49,92.0,C#,Minor,91.0,43.0,71.0,9.0,0.0,9.0,8.0
Makeba,Jain,1.0,2015.0,6.0,22.0,6060.0,53.0,165484133,150.0,148.0,"2,703",22.0,"1,451",116.0,D,Major,82.0,40.0,66.0,39.0,51.0,25.0,7.0
MONTAGEM - FR PUNK,"Ayparia, unxbected",2.0,2012.0,6.0,20.0,,50.0,58054811,1.0,52.0,8,0.0,"1,170",129.0,A,Major,63.0,84.0,wrong_type,70.0,8.0,9.0,7.0
Fast Car,Luke Combs,,2023.0,3.0,24.0,1446.0,12.0,157058870,57.0,97.0,35,0.0,429,98.0,G#,Major,71.0,67.0,wrong_type,19.0,0.0,12.0,3.0
What It Is (Solo Version),Doechii,1.0,2023.0,3.0,17.0,804.0,25.0,95131998,29.0,76.0,24,0.0,162,wrong_type,C#,Minor,74.0,76.0,76.0,6.0,0.0,,9.0
Coco Chanel,"Bad Bunny, Eladio Carrion",2.0,2023.0,3.0,17.0,1962.0,wrong_type,250305248,28.0,89.0,29,5.0,82,150.0,D,Major,68.0,14.0,76.0,4.0,0.0,10.0,4.0
Donï¿½ï¿½ï¿½t Bl,Taylor Swift,1.0,2017.0,11.0,8.0,4875.0,23.0,685032533,19.0,45.0,0,0.0,10,136.0,A,Minor,62.0,19.0,53.0,11.0,0.0,6.0,
Still With You,Jung Kook,1.0,wrong_type,6.0,5.0,31.0,39.0,38411956,2.0,107.0,8,0.0,0,88.0,C#,Minor,53.0,34.0,47.0,9.0,0.0,83.0,4.0
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2.0,2023.0,5.0,12.0,2175.0,23.0,144565150,69.0,145.0,69,wrong_type,478,143.0,D#,Major,83.0,69.0,44.0,15.0,0.0,10.0,wrong_type
Say Yes To Heaven,Lana Del Rey,1.0,2023.0,3.0,17.0,2000.0,46.0,127567540,49.0,105.0,63,1.0,0,100.0,F#,Minor,,17.0,35.0,71.0,9.0,11.0,3.0
Snooze,SZA,1.0,2022.0,12.0,9.0,2839.0,25.0,399686758,wrong_type,156.0,42,1.0,236,143.0,F,Major,56.0,39.0,55.0,14.0,0.0,11.0,13.0
Summertime Sadness,Lana Del Rey,1.0,2011.0,,1.0,20333.0,,983637508,wrong_type,143.0,"1,632",3.0,200,112.0,C#,Minor,56.0,24.0,66.0,7.0,0.0,12.0,3.0
Take Two,BTS,1.0,wrong_type,6.0,9.0,674.0,47.0,118482347,20.0,wrong_type,25,4.0,78,93.0,G,Major,62.0,57.0,59.0,3.0,0.0,38.0,3.0
Lover,Taylor Swift,1.0,2012.0,1.0,1.0,8448.0,23.0,882831184,160.0,110.0,163,,5,,G,Major,43.0,50.0,55.0,wrong_type,0.0,15.0,10.0
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",,2022.0,12.0,2.0,2110.0,58.0,286400165,17.0,119.0,19,2.0,266,88.0,G,Minor,68.0,17.0,71.0,15.0,0.0,11.0,5.0
Chemical,Post Malone,1.0,2023.0,4.0,14.0,2528.0,39.0,172825906,56.0,91.0,59,3.0,486,170.0,D,Major,50.0,37.0,90.0,0.0,,12.0,5.0
Mockingbird,Eminem,1.0,2004.0,1.0,1.0,12985.0,61.0,1241559043,wrong_type,98.0,"2,394",5.0,204,84.0,E,Minor,62.0,24.0,67.0,21.0,0.0,13.0,28.0
New Jeans,NewJeans,1.0,2023.0,7.0,7.0,77.0,35.0,29562220,8.0,wrong_type,4,4.0,34,134.0,E,Minor,,53.0,72.0,51.0,0.0,12.0,5.0
Primera Cita,Carin Leon,1.0,2022.0,4.0,20.0,,27.0,77309611,6.0,40.0,6,6.0,202,158.0,A#,Major,54.0,50.0,40.0,61.0,0.0,10.0,6.0
Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",3.0,2017.0,11.0,10.0,21097.0,52.0,1605224506,384.0,135.0,"1,034",37.0,312,116.0,C#,Major,80.0,92.0,80.0,4.0,0.0,10.0,3.0
Dandelions,Ruth B.,1.0,2017.0,4.0,28.0,3423.0,21.0,1116995633,,,59,1.0,32,117.0,C#,Major,61.0,45.0,69.0,2.0,0.0,9.0,3.0
Bones,Imagine Dragons,1.0,2021.0,3.0,11.0,4198.0,44.0,838079900,98.0,108.0,327,17.0,153,114.0,F,Minor,wrong_type,65.0,72.0,2.0,0.0,7.0,5.0
Set Fire to the Rain,Adele,1.0,2011.0,1.0,1.0,14739.0,43.0,1163620694,88.0,112.0,"2,163",5.0,519,108.0,D,Minor,61.0,47.0,68.0,0.0,0.0,13.0,3.0
Money Trees,"Kendrick Lamar, Jay Rock",2.0,2012.0,1.0,1.0,26792.0,32.0,1093605526,,wrong_type,695,0.0,458,144.0,E,Minor,wrong_type,37.0,53.0,7.0,0.0,21.0,10.0
Tak Segampang Itu,Anggi Marito,1.0,2022.0,12.0,2.0,213.0,6.0,179659294,7.0,6.0,0,0.0,48,130.0,F,Major,51.0,18.0,44.0,76.0,0.0,11.0,3.0
LAGUNAS,"Jasiel Nuï¿½ï¿½ez, Peso P",2.0,2023.0,6.0,22.0,wrong_type,18.0,39058561,2.0,106.0,4,2.0,184,116.0,B,Major,77.0,79.0,,33.0,1.0,15.0,
Mine (Taylor's Version),Taylor Swift,1.0,2023.0,7.0,7.0,99.0,15.0,36912123,21.0,52.0,6,wrong_type,0,121.0,G,Major,65.0,49.0,78.0,0.0,0.0,17.0,4.0
Everybody Wants To Rule The World,Tears For Fears,1.0,1985.0,2.0,17.0,41751.0,25.0,1205951614,101.0,32.0,"2,655",0.0,666,,G,Major,64.0,54.0,81.0,36.0,0.0,11.0,6.0
No Role Modelz,J. Cole,1.0,wrong_type,12.0,9.0,21164.0,36.0,1791000570,80.0,65.0,476,0.0,14,100.0,A#,Minor,70.0,47.0,52.0,30.0,0.0,6.0,33.0
Tattoo,Loreen,1.0,2023.0,2.0,25.0,2988.0,59.0,201660859,74.0,102.0,145,18.0,925,150.0,D#,Minor,55.0,30.0,78.0,24.0,0.0,,8.0
Rara Vez,"Taiu, Milo j",wrong_type,2023.0,2.0,8.0,893.0,38.0,248088961,19.0,23.0,24,3.0,88,wrong_type,F,Minor,84.0,,71.0,18.0,0.0,wrong_type,17.0
VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Beï¿½ï",3.0,2023.0,5.0,12.0,,,90839753,40.0,58.0,47,8.0,203,127.0,B,Minor,82.0,89.0,wrong_type,wrong_type,0.0,,wrong_type
august,Taylor Swift,1.0,2020.0,7.0,24.0,7324.0,22.0,607123776,25.0,81.0,61,1.0,44,wrong_type,F,Major,51.0,42.0,61.0,53.0,0.0,9.0,3.0
LUNA,"Junior H, Peso Pluma",2.0,2023.0,6.0,22.0,201.0,,55842345,19.0,117.0,8,1.0,74,128.0,A,Minor,75.0,79.0,63.0,33.0,0.0,15.0,4.0
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",2.0,2023.0,3.0,10.0,,48.0,211050784,161.0,115.0,246,9.0,638,143.0,A,Major,64.0,wrong_type,87.0,4.0,4.0,8.0,4.0
Nonsense,Sabrina Carpenter,1.0,2022.0,7.0,15.0,2346.0,27.0,342897938,69.0,12.0,38,8.0,64,139.0,G#,Major,74.0,68.0,68.0,3.0,0.0,26.0,4.0
Que Vuelvas,"Carin Leon, Grupo Frontera",2.0,2022.0,12.0,9.0,763.0,26.0,2762,21.0,110.0,21,9.0,71,162.0,A#,Major,49.0,78.0,64.0,,wrong_type,11.0,4.0
Por las Noches,Peso Pluma,,2021.0,6.0,11.0,457.0,,330346424,8.0,116.0,4,3.0,2,92.0,,Major,,wrong_type,60.0,wrong_type,0.0,7.0,3.0
Feliz Cumpleaï¿½ï¿½os Fe,Feid,1.0,2022.0,8.0,,3430.0,38.0,601863821,45.0,69.0,52,4.0,3,95.0,F,Major,87.0,57.0,55.0,10.0,0.0,29.0,7.0
Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",3.0,2011.0,wrong_type,,6074.0,52.0,1953533826,201.0,44.0,"6,551",2.0,0,146.0,D,Major,63.0,88.0,93.0,wrong_type,0.0,wrong_type,8.0
Watermelon Sugar,Harry Styles,1.0,,11.0,17.0,21915.0,34.0,2322580122,437.0,115.0,"1,212",12.0,,95.0,,Major,55.0,56.0,82.0,12.0,0.0,34.0,5.0
lovely - Bonus Track,"Billie Eilish, Khalid",2.0,2017.0,8.0,11.0,15032.0,30.0,2355719893,221.0,96.0,"1,078",2.0,136,115.0,E,Minor,35.0,12.0,30.0,93.0,0.0,10.0,3.0
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",2.0,2023.0,6.0,21.0,871.0,32.0,66902503,25.0,59.0,32,5.0,88,128.0,B,Major,78.0,wrong_type,65.0,10.0,0.0,26.0,5.0
Queencard,(G)I-DLE,1.0,2023.0,5.0,15.0,451.0,33.0,96273746,10.0,126.0,7,0.0,148,130.0,E,Minor,82.0,,83.0,3.0,0.0,27.0,
